SUMMARY,DTSTART,DTEND,SUNRISE,SUNSET,MOONRISE,MOONSET,MONTH,WEEKDAY,PAKSHA,TITHI,TITHIEND,TITHI2,TITHIEND,NAKSHATRA,NAKSHATRAEND,NAKSHATRA2,NAKSHATRA2END,YOGA,YOGAEND,YOGA2,YOGA2END,KARANA,KARANAEND,KARANA2,KARANA2END,KARANA3,KARANA3END,SUNSIGN,MOONSIGN,RAHU KALAM,GULIKAI KALAM,YAMAGANDA,ABHIJIT,DUR MUHURATHAM,AMRIT KALAM,FESTIVALS,EMPTY,ATTENDEE,LOCATION,PRIORITY,URL,CALENDAR,UID,,,
"Phalguna, Tritiya Krishna Paksha, 1940 Vilambi Shaka Samvata",03/23/2019,03/24/2019,6:44 AM,6:46 PM,Moonrise - 09:18 PM,Moonset - 08:28 AMShaka Samvat - 1940 VilambiVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - PhalgunaPurnimanta Month - Chaitra,Weekday - Shaniwara,Paksha - Krishna Paksha,Tithi - Tritiya ,10:32 PM,None,None,Nakshatra - Chitra ,9:06 AM,None,None,Yoga - Vyaghata upto1,12:37 PM,None,None,Karana - Vanija ,11:39 AM,Karana - Vishti ,10:32 PM,None,None,Sunsign - Meena,Moonsign - Tula,Rahu Kalam - 09:45 AM to 11:15 AM,Gulikai Kalam - 06:44 AM to 08:14 AM,Yamaganda - 02:16 PM to 03:46 PM,Abhijit - 12:21 PM to 01:09 PM,Dur Muhurtam - 06:44 AM to 07:32 AM,Dur Muhurtam - 07:32 AM to 08:20 AM,"Amrit Kalam - 11:25 PM to 12:55 AM, Mar 24Varjyam - 02:22 PM to 03:53 PM",Day Festivals and Events - Shivaji Jayanti,from www.drikpanchang.com ,,"Mumbai, India",,,Drik Panchang - 2019 (1),5890cfe208cf0d8f5ccea9f439422830@ical.drikpanchang.com,,
"Phalguna, Chaturthi Krishna Paksha, 1940 Vilambi Shaka Samvata",03/24/2019,03/25/2019,6:43 AM,6:47 PM,Moonrise - 10:16 PM,Moonset - 09:12 AMShaka Samvat - 1940 VilambiVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - PhalgunaPurnimanta Month - Chaitra,Weekday - Raviwara,Paksha - Krishna Paksha,Tithi - Chaturthi ,8:51 PM,None,None,Nakshatra - Swati ,7:42 AM,None,None,Yoga - Harshana upto0,8:06 PM,None,None,Karana - Bava ,9:36 AM,Karana - Balava ,8:51 PM,None,None,Sunsign - Meena,"Moonsign - Tula upto 01:09 AM, Mar 25",Rahu Kalam - 05:16 PM to 06:47 PM,Gulikai Kalam - 03:46 PM to 05:16 PM,Yamaganda - 12:45 PM to 02:15 PM,Abhijit - 12:21 PM to 01:09 PM,Dur Muhurtam - 05:10 PM to 05:58 PM,"Amrit Kalam - 10:30 PM to 12:03 AM, Mar 25Varjyam - 01:09 PM to02:43 PM",Day Festivals and Events - Bhalachandra Sankashti Chaturthi goo.gl/R7nT3g,from www.drikpanchang.com ,,"Mumbai, India",,,Drik Panchang - 2019 (1),177422608946058fada4cbbda0731ea3@ical.drikpanchang.com,,,
"Phalguna, Panchami Krishna Paksha, 1940 Vilambi Shaka Samvata",03/25/2019,03/26/2019,6:42 AM,6:47 PM,Moonrise - 11:13 PM,Moonset - 09:58 AMShaka Samvat - 1940 VilambiVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - PhalgunaPurnimanta Month - Chaitra,Weekday - Somawara,Paksha - Krishna Paksha,Tithi - Panchami ,8:00 PM,None,None,Nakshatra - Vishakha ,7:04 AM,None,None,Yoga - Vajra ,6:15 PM,None,None,Karana - Kaulava ,8:19 AM,Karana - Taitila ,8:00 PM,None,None,Sunsign - Meena,"Moonsign - Vrishchika""",Rahu Kalam - 08:13 AM to 09:43 AM,Gulikai Kalam - 02:15 PM to 03:46 PM,Yamaganda - 11:14 AM to 12:45 PM,Abhijit - 12:20 PM to 01:09 PM,Dur Muhurtam - 01:09 PM to 01:57 PM,Dur Muhurtam - 03:34 PM to 04:22 PM,Amrit Kalam - 08:47 PM to 10:24 PMVarjyam- 11:06 AM to 12:43 PM,Day Festivals and Events - Ranga Panchami,"from www.drikpanchang.com ,,Mumbai"," India""",,,Drik Panchang - 2019 (1),60e44ead76bef830eb0d971402f660a4@ical.drikpanchang.com,,,
"Phalguna, Shashthi Krishna Paksha, 1940 Vilambi Shaka Samvata",03/26/2019,03/27/2019,6:41 AM,6:47 PM,"Moonrise - 12:09 AM, Mar 27",Moonset - 10:44 AMShaka Samvat - 1940 VilambiVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - PhalgunaPurnimanta Month - Chaitra,Weekday - Mangalawara,Paksha - Krishna Paksha,Tithi - Shashthi ,8:02 PM,None,None,Nakshatra - Anuradha ,7:16 AM,None,None,Yoga - Siddhi ,5:05 PM,None,None,Karana - Garaja ,7:54 AM,Karana - Vanija upto0,8:02 PM,None,None,Sunsign - Meena,Moonsign - Vrishchika,Rahu Kalam - 03:46 PM to 05:16 PM,Gulikai Kalam - 12:44 PM to 02:15 PM,Yamaganda - 09:43 AM to 11:14 AM,Abhijit - 12:20 PM to 01:09 PM,Dur Muhurtam - 09:07 AM to 09:55AM,"Dur Muhurtam - 11:33 PM to 12:20 AM, Mar 27","Amrit Kalam - 11:08 PM to 12:49 AM, Mar 27Varjyam - 01:07 PM to 02:47 PM",from www.drikpanchang.com ,,"Mumbai, India",,,Drik Panchang - 2019 (1),a06cc5500bd9721c70c56951539cc2b8@ical.drikpanchang.com,,,
"Phalguna, Saptami Krishna Paksha, 1940 Vilambi Shaka Samvata",03/27/2019,03/28/2019,6:41 AM,6:47 PM,"Moonrise - 01:02 AM, Mar 28",Moonset - 11:32 AMShaka Samvat - 1940 VilambiVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - PhalgunaPurnimanta Month - Chaitra,Weekday - Budhawara,Paksha - Krishna Paksha,Tithi - Saptami ,8:55 PM,None,None,Nakshatra - Jyeshtha ,8:20 AM,None,None,Yoga - Vyatipata ,4:36 PM,None,None,Karana - Vishti ,8:22 AM,Karana - Bava ,8:55 PM,None,None,Sunsign - Meena,Moonsign - Vrishchika upto 08:20 AM,Rahu Kalam - 12:44 PM to 02:15 PM,Gulikai Kalam - 11:13 AM to 12:44 PM,Yamaganda - 08:11 AM to 09:42 AM,Abhijit - None,Dur Muhurtam - 12:20 PM to 01:08 PM,"Amrit Kalam - 03:18 AM, Mar 28 to 05:01 AM, Mar 28Varjyam - 04:57 PM to 06:40 PM",Day Festivals and Events - Sheetala Saptami,from www.drikpanchang.com ,,"Mumbai, India",,,Drik Panchang - 2019 (1),46f89ea62c34192a96b1dbce2034da8f@ical.drikpanchang.com,,,
"Phalguna, Ashtami Krishna Paksha, 1940 Vilambi Shaka Samvata",03/28/2019,03/29/2019,6:40 AM,6:48 PM,"Moonrise - 01:53 AM, Mar 29",Moonset - 12:22 PMShaka Samvat - 1940 VilambiVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - PhalgunaPurnimanta Month - Chaitra,Weekday - Guruwara,Paksha - Krishna Paksha,Tithi - Ashtami ,10:34 PM,None,None,Nakshatra - Mula ,10:11 AM,None,None,Yoga - Varigha,4:43 PM,None,None,Karana - Balava ,9:39 AM,Karana - Kaulava ,10:34PM,None,None,Sunsign - Meena,"Moonsign - Dhanu""",Rahu Kalam - 02:15 PM to 03:46 PM,Gulikai Kalam - 09:42 AM to 11:13 AM,Yamaganda - 06:40 AM to 08:11 AM,Abhijit - 12:19 PM to 01:08 PM,Dur Muhurtam - 10:42 AM to 11:31 AM,Dur Muhurtam - 03:34 PM to 04:22 PMVarjyam - 08:28 AM to 10:11 AMVarjyam - 08:48 PM to 10:34 PM,Day Festivals and Events - KalashtamiBasodaSheetala AshtamiVarshitapa Arambha,"from www.drikpanchang.com ,,Mumbai"," India""",,,Drik Panchang - 2019 (1),b1b65f5919be45b5819c37672a9fb2eb@ical.drikpanchang.com,,,,
"Phalguna, Navami Krishna Paksha, 1940 Vilambi Shaka Samvata",03/29/2019,03/30/2019,6:39 AM,6:48 PM,"Moonrise - 02:41 AM, Mar 30",Moonset - 01:12 PMShaka Samvat - 1940 VilambiVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - PhalgunaPurnimanta Month - Chaitra,Weekday - Shukrawara,Paksha - Krishna Paksha,Tithi - Navami ,12:48 AM,None,None,Nakshatra - Purva Ashadha ,12:42PM,None,None,Yoga - Parigha ,5:19 PM,None,None,Karana - Taitila ,11:38 AM,Karana - Garaja ,12:48 AM,None,None,Sunsign - Meena,"Moonsign - Dhanu upto 07:24 PM""",Rahu Kalam - 11:12 AM to 12:43 PM,Gulikai Kalam - 08:10 AM to 09:41 AM,Yamaganda - 03:46 PM to 05:17 PM,Abhijit - 12:19 PM to 01:08 PM,Dur Muhurtam - 09:05 AM to 09:53 AM,Dur Muhurtam - 01:08 PM to 01:56 PM,Amrit Kalam - 07:24 AM to 09:10 AMVarjyam - 09:41 PM to 11:29 PM,"from www.drikpanchang.com ,,Mumbai"," India""",,,Drik Panchang - 2019 (1),bb5ee16cc85f8dbddbe11ccf85f9e48f@ical.drikpanchang.com,,,,
"Phalguna, Dashami Krishna Paksha, 1940 Vilambi Shaka Samvata",03/30/2019,03/31/2019,6:38 AM,6:48 PM,"Moonrise - 03:25 AM, Mar 31",Moonset - 02:03 PMShaka Samvat - 1940 VilambiVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - PhalgunaPurnimanta Month - Chaitra,Weekday - Shaniwara,Paksha - Krishna Paksha,Tithi - Dashami ,3:23 AM,None,None,Nakshatra - Uttara Ashadha ,3:39 PM,None,None,Yoga - Shiva ,6:14 PM,None,None,Karana - Vanija ,2:04 PM,Karana - Vishti ,3:23 AM,None,None,Sunsign - Meena,"Moonsign - Makara""",Rahu Kalam - 09:41 AM to 11:12 AM,Gulikai Kalam - 06:38 AM to 08:09 AM,Yamaganda - 02:14 PM to 03:46 PM,Abhijit - 12:19 PM to 01:07 PM,Dur Muhurtam - 06:38 AM to 07:27 AM,Dur Muhurtam - 07:27 AM to 08:15 AM,Amrit Kalam - 08:27 AM to 10:15 AMVarjyam - 08:10 PM to 09:59 PM,"from www.drikpanchang.com ,,Mumbai"," India""",,,Drik Panchang - 2019 (1),7f8b32f93c864e92ac33ce756f2a14da@ical.drikpanchang.com,,,,
"Phalguna, Ekadashi Krishna Paksha, 1940 Vilambi Shaka Samvata",03/31/2019,04/01/19,6:37 AM,6:48 PM,"Moonrise - 04:07 AM, Apr 01",Moonset - 02:53 PMShaka Samvat - 1940 VilambiVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - PhalgunaPurnimanta Month - Chaitra,Weekday - Raviwara,Paksha - Krishna Paksha,Tithi - Ekadashi ,6:04 AM,None,None,Nakshatra - Shravana ,6:48 PM,None,None,Yoga - Siddha ,7:17 PM,None,None,Karana - Bava ,4:44 PM,Karana - Balava ,6:04 AM,None,None,Sunsign - Meena,Moonsign - Makara,Rahu Kalam - 05:17 PM to 06:48 PM,Gulikai Kalam - 03:46 PM to 05:17 PM,Yamaganda - 12:43 PM to 02:14 PM,Abhijit - 12:18 PM to 01:07 PM,Dur Muhurtam - 05:11 PMto 06:00 PM,"Amrit Kalam - 07:02 AM to 08:50 AMVarjyam - 11:19 PM to 01:07 AM, Apr 01",Day Festivals and Events - Papmochani Ekadashi goo.gl/vMXmC8,from www.drikpanchang.com ,,"Mumbai, India",,,Drik Panchang - 2019 (1),3b9f6f166ac11fe163def851cbea8822@ical.drikpanchang.com,,,
"Phalguna, Dwadashi Krishna Paksha, 1940 Vilambi Shaka Samvata",04/01/19,04/02/19,6:36 AM,6:49 PM,"Moonrise - 04:46 AM, Apr 02",Moonset - 03:43 PMShaka Samvat - 1940 VilambiVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - PhalgunaPurnimanta Month - Chaitra,Weekday - Somawara,Paksha - Krishna Paksha,Tithi - Dwadashi ,Full Night,None,None,Nakshatra - Dhanishtha ,9:55 PM,None,None,Yoga - Sadhya ,8:19 PM,None,None,Karana - Kaulava ,7:23 PM,Karana - Taitila ,Full Night,None,None,Sunsign - Meena,Moonsign - Makara upto 08:22 AM,Rahu Kalam - 08:08 AM to 09:39 AM,Gulikai Kalam - 02:14 PM to 03:46 PM,Yamaganda - 11:11 AM to 12:43 PM,Abhijit - 12:18 PM to 01:07 PM,Dur Muhurtam - 01:07 PM to 01:56 PM,Dur Muhurtam - 03:33 PM to 04:22 PM,"Amrit Kalam - 10:10 AM to 11:58 AMVarjyam - 06:00 AM, Apr 02 to 07:47 AM, Apr 02",Day Festivals and Events - Vaishnava Papmochani Ekadashi goo.gl/vMXmC8Papmochani Ekadashi Parana goo.gl/vMXmC8,from www.drikpanchang.com ,,"Mumbai, India",,,Drik Panchang - 2019 (1),051188c144b52bfe176a99b6d222c3ca@ical.drikpanchang.com,,
"Phalguna, Dwadashi Krishna Paksha, 1940 Vilambi Shaka Samvata",04/02/19,04/03/19,6:36 AM,6:49 PM,"Moonrise - 05:23 AM, Apr 03",Moonset - 04:33 PMShaka Samvat - 1940 VilambiVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - PhalgunaPurnimanta Month - Chaitra,Weekday - Mangalawara,Paksha - Krishna Paksha,Tithi - Dwadashi ,8:38 AM,None,None,Nakshatra - Shatabhisha ,12:50 AM,None,None,Yoga - Shubha ,9:12 PM,None,None,Karana - Taitila ,8:38 AM,Karana - Garaja ,9:50 PM,None,None,Sunsign - Meena,Moonsign - Kumbha,Rahu Kalam - 03:46 PM to 05:17 PM,Gulikai Kalam - 12:42 PM to 02:14 PM,Yamaganda - 09:39 AM to 11:11 AM,Abhijit - 12:18 PM to 01:07 PM,Dur Muhurtam - 09:02 AMto 09:51 AM,"Dur Muhurtam - 11:31 PM to 12:18 AM, Apr 03",Amrit Kalam - 04:46 PM to 06:33 PM,Day Festivals and Events - Pradosh Vrat,from www.drikpanchang.com ,,"Mumbai, India",,,Drik Panchang - 2019 (1),be6eba95eb6ad0daaba848d04aab5440@ical.drikpanchang.com,,
"Phalguna, Trayodashi Krishna Paksha, 1940 Vilambi Shaka Samvata",04/03/19,04/04/19,6:35 AM,6:49 PM,"Moonrise - 06:00 AM, Apr 04",Moonset - 05:22 PMShaka Samvat - 1940 VilambiVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - PhalgunaPurnimanta Month - Chaitra,Weekday - Budhawara,Paksha - Krishna Paksha,Tithi - Trayodashi ,10:56 AM,None,None,Nakshatra - Purva Bhadrapada ,3:25 AM,None,None,Yoga - Shukla ,9:50 PM,None,None,Karana - Vanija ,10:56 AM,Karana - Vishti ,11:57 PM,None,None,Sunsign - Meena,"Moonsign - Kumbha upto 08:49 PM""",Rahu Kalam - 12:42 PM to 02:14 PM,Gulikai Kalam - 11:10 AM to 12:42 PM,Yamaganda - 08:07 AM to 09:38 AM,Abhijit - None,Dur Muhurtam - 12:17 PM to 01:06 PM,Amrit Kalam - 06:34 PM to 08:20 PMVarjyam - 07:56 AM to 09:42 AM,Day Festivals and Events - Masik Shivaratri,"from www.drikpanchang.com ,,Mumbai"," India""",,,Drik Panchang - 2019 (1),c51f01b049b8365082575a9d6be6a85c@ical.drikpanchang.com,,,,
"Phalguna, Chaturdashi Krishna Paksha, 1940 Vilambi Shaka Samvata",04/04/19,04/05/19,6:34 AM,6:49 PM,Moonrise - No Moonrise,Moonset - 06:11 PMShaka Samvat - 1940 VilambiVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - PhalgunaPurnimanta Month - Chaitra,Weekday - Guruwara,Paksha - Krishna Paksha,Tithi - Chaturdashi ,12:51 PM,None,None,Nakshatra - Uttara Bhadrapada ,5:37 AM,None,None,Yoga - Brahma ,10:09 PM,None,None,Karana - Shakuni ,12:51 PM,Karana - Chatushpada ,1:39 AM,None,None,Sunsign - Meena,Moonsign - Meena,Rahu Kalam - 02:14 PM to 03:46 PM,Gulikai Kalam - 09:38 AM to 11:10 AM,Yamaganda - 06:34 AM to 08:06 AM,Abhijit - 12:17 PM to 01:06 PM,Dur Muhurtam - 10:39 AM to 11:28 AM,Dur Muhurtam - 03:33 PM to 04:22 PM,"Amrit Kalam - 12:23 AM, Apr 05 to 02:07 AM, Apr 05Varjyam - 01:54 PM to 03:39 PM",Day Festivals and Events - Darsha Amavasya,from www.drikpanchang.com ,,"Mumbai, India",,,Drik Panchang - 2019 (1),5eeb7357816acbf0ef5f084d4d1816f5@ical.drikpanchang.com,,
"Phalguna, Amavasya Krishna Paksha, 1940 Vilambi Shaka Samvata",04/05/19,04/06/19,6:33 AM,6:50 PM,Moonrise - 06:36 AM,Moonset - 07:00 PMShaka Samvat - 1940 VilambiVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - PhalgunaPurnimanta Month - Chaitra,Weekday - Shukrawara,Paksha - Krishna Paksha,Tithi - Amavasya ,2:20 PM,None,None,Nakshatra - Revati ,Full Night,None,None,Yoga - Indra ,10:08 PM,None,None,Karana - Nagava ,2:20 PM,Karana - Kinstughna ,2:55 AM,None,None,Sunsign - Meena,Moonsign - Meena,Rahu Kalam - 11:09 AM to 12:41 PM,Gulikai Kalam - 08:05 AM to 09:37 AM,Yamaganda - 03:45 PM to 05:18 PM,Abhijit - 12:17 PM to 01:06 PM,Dur Muhurtam - 09:00 AM to 09:50 AM,Dur Muhurtam - 01:06 PM to 01:55 PM,"Amrit Kalam - 04:49 AM, Apr 06 to 06:32 AM, Apr 06Varjyam - 06:30 PM to 08:13 PM",Day Festivals and Events - Phalguna Amavasya,from www.drikpanchang.com ,,"Mumbai, India",,,Drik Panchang - 2019 (1),2555b121c93f3b015155e20951a73de4@ical.drikpanchang.com,,
"Chaitra, Pratipada Shukla Paksha, 1941 Vikari Shaka Samvata",04/06/19,04/07/19,6:32 AM,6:50 PM,Moonrise - 07:12 AM,Moonset - 07:51 PMShaka Samvat - 1941 VikariVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - ChaitraPurnimanta Month - Chaitra,Weekday - Shaniwara,Paksha - Shukla Paksha,Tithi - Pratipada ,3:23 PM,None,None,Nakshatra - Revati ,7:23 AM,None,None,Yoga - Vaidhriti upto0,9:48 PM,None,None,Karana - Bava ,3:23 PM,Karana - Balava ,3:45 AM,None,None,Sunsign - Meena,Moonsign - Meena upto 07:23 AM,Rahu Kalam - 09:37 AM to 11:09 AM,Gulikai Kalam - 06:32 AM to 08:04 AM,Yamaganda - 02:13 PMto 03:45 PM,Abhijit - 12:16 PM to 01:06 PM,Dur Muhurtam - 06:32 AM to 07:21 AM,Dur Muhurtam - 07:21 AM to 08:11 AM,"Amrit Kalam - 01:09 AM, Apr07 to 02:50 AM, Apr 07Varjyam - 04:31 AM, Apr 07 to 06:13 AM, Apr 07",Day Festivals and Events - Chaitra Begins *SouthChandra DarshanaChaitra Navratri goo.gl/bZEQZTGudi Padwa goo.gl/MDMzx8Ugadi goo.gl/Cyq4Wm,from www.drikpanchang.com ,,"Mumbai, India",,,Drik Panchang - 2019 (1),fbc6c0c6da3997bd7d68248cb8b73a43@ical.drikpanchang.com,,
"Chaitra, Dwitiya Shukla Paksha, 1941 Vikari Shaka Samvata",04/07/19,04/08/19,6:31 AM,6:50 PM,Moonrise - 07:50 AM,Moonset - 08:43 PMShaka Samvat - 1941 VikariVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - ChaitraPurnimanta Month - Chaitra,Weekday - Raviwara,Paksha - Shukla Paksha,Tithi - Dwitiya ,4:01 PM,None,None,Nakshatra - Ashwini ,8:45 AM,None,None,Yoga - Vishkambha ,9:09 PM,None,None,Karana - Kaulava ,4:01 PM,"Karana - Taitila """,4:11 AM,None,None,Sunsign - Meena,Moonsign - Mesha,Rahu Kalam - 05:18 PM to 06:50PM,Gulikai Kalam - 03:45 PM to 05:18 PM,Yamaganda - 12:41 PM to 02:13 PM,Abhijit - 12:16 PM to 01:05 PM,Dur Muhurtam - 05:12 PM to 06:01 PM,"Amrit Kalam - 04:44 AM, Apr 08 to 06:24 AM, Apr 08Varjyam - 06:45 PM to 08:25 PM",Day Festivals and Events - Jhulelal Jayanti,from www.drikpanchang.com ,,"Mumbai, India",,,Drik Panchang - 2019 (1),51c8dfa8d7b869a22076ffe8f2cccbfb@ical.drikpanchang.com,,,
"Chaitra, Tritiya Shukla Paksha, 1941 Vikari Shaka Samvata",04/08/19,04/09/19,6:31 AM,6:50 PM,Moonrise - 08:31 AM,Moonset - 09:38 PMShaka Samvat - 1941 VikariVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - ChaitraPurnimanta Month - Chaitra,Weekday - Somawara,Paksha - Shukla Paksha,Tithi - Tritiya ,4:16 PM,None,None,Nakshatra - Bharani ,9:44 AM,None,None,Yoga - Priti ,08:12PM,None,None,Karana - Garaja ,4:16 PM,Karana - Vanija ,4:14 AM,None,None,Sunsign - Meena,"Moonsign - Mesha upto 03:55 PM""",Rahu Kalam - 08:03 AM to 09:36 AM,Gulikai Kalam - 02:13 PM to 03:45 PM,Yamaganda - 11:08 AM to 12:41 PM,Abhijit - 12:16 PM to 01:05 PM,Dur Muhurtam - 01:05 PM to 01:54PM,Dur Muhurtam - 03:33 PM to 04:22 PMVarjyam - 10:02 PM to 11:40 PM,Day Festivals and Events - Gauri PujaGangaurMatsya JayantiMasik Karthigai,"from www.drikpanchang.com ,,Mumbai"," India""",,,Drik Panchang - 2019 (1),50af71416f4707e73f074b154f84ac58@ical.drikpanchang.com,,,,
"Chaitra, Chaturthi Shukla Paksha, 1941 Vikari Shaka Samvata",04/09/19,04/10/19,6:30 AM,6:51 PM,Moonrise - 09:15 AM,Moonset - 10:34 PMShaka Samvat - 1941 VikariVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - ChaitraPurnimanta Month - Chaitra,Weekday - Mangalawara,Paksha - Shukla Paksha,Tithi - Chaturthi ,4:07 PM,None,None,Nakshatra - Krittika ,10:20 AM,None,None,Yoga - Ayushman ,6:57 PM,None,None,Karana - Vishti ,4:07 PM,"Karana - Bava """,3:54 AM,None,None,Sunsign - Meena,Moonsign - Vrishabha,Rahu Kalam - 03:45 PM to 05:18 PM,Gulikai Kalam - 12:40 PM to 02:13 PM,Yamaganda - 09:35 AM to 11:08 AM,Abhijit - 12:16 PM to 01:05 PM,Dur Muhurtam - 08:58 AM to 09:47 AM,"Dur Muhurtam - 11:30 PM to 12:17 AM, Apr 10","Amrit Kalam - 07:52 AM to 09:31 AMVarjyam - 02:30 AM, Apr 10 to 04:07 AM, Apr 10",Day Festivals and Events - Vinayaka ChaturthiLakshmi Panchami,from www.drikpanchang.com ,,"Mumbai, India",,,Drik Panchang - 2019 (1),2f6a3666bf91a445778bc6a379b22f74@ical.drikpanchang.com,,
"Chaitra, Panchami Shukla Paksha, 1941 Vikari Shaka Samvata",04/10/19,04/11/19,6:29 AM,6:51 PM,Moonrise - 10:03 AM,Moonset - 11:31 PMShaka Samvat - 1941 VikariVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - ChaitraPurnimanta Month - Chaitra,Weekday - Budhawara,Paksha - Shukla Paksha,Tithi - Panchami ,3:36 PM,None,None,Nakshatra - Rohini ,10:34 AM,None,None,Yoga - Saubhagya ,5:25 PM,None,None,Karana - Balava ,3:36 PM,Karana - Kaulava ,3:12 AM,None,None,Sunsign - Meena,Moonsign - Vrishabha upto 10:33 PM,Rahu Kalam - 12:40 PM to 02:13 PM,Gulikai Kalam - 11:07 AM to 12:40 PM,Yamaganda - 08:02 AM to 09:35 AM,Abhijit - None,Dur Muhurtam - 12:15 PM to 01:05 PM,Amrit Kalam - 07:20 AM to 08:57 AM,"Amrit Kalam - 01:41 AM, Apr 11 to 03:17 AM, Apr 11Varjyam - 04:08 PM to 05:44 PM",Day Festivals and Events - Skanda SashtiRohini Vrat,from www.drikpanchang.com ,,"Mumbai, India",,,Drik Panchang - 2019 (1),b9b82b68221aa8e00f455ee67d2bda78@ical.drikpanchang.com,,
"Chaitra, Shashthi Shukla Paksha, 1941 Vikari Shaka Samvata",04/11/19,04/12/19,6:28 AM,6:51 PM,Moonrise - 10:55 AM,"Moonset - 12:30 AM, Apr 12Shaka Samvat - 1941 VikariVikram Samvat - 2076ParidhaviGujarati Samvat - 2075 Sadharana",Amanta Month - ChaitraPurnimanta Month - Chaitra,Weekday - Guruwara,Paksha - Shukla Paksha,Tithi - Shashthi ,2:42 PM,None,None,Nakshatra - Mrigashirsha ,10:26 AM,None,None,Yoga - Shobhana ,3:34 PM,None,None,Karana - Taitila ,2:42 PM,Karana - Garaja ,2:06 AM,None,None,Sunsign - Meena,Moonsign - Mithuna,Rahu Kalam - 02:13 PM to 03:45 PM,Gulikai Kalam - 09:34 AM to 11:07 AM,Yamaganda - 06:28AM to 08:01 AM,Abhijit - 12:15 PM to 01:04 PM,Dur Muhurtam - 10:36 AM to 11:25 AM,Dur Muhurtam - 03:33 PM to 04:23 PM,"Amrit Kalam - 12:08 AM, Apr 12 to 01:42 AM, Apr 12Varjyam - 06:39 PM to 08:13 PM",Day Festivalsand Events - Yamuna Chhath,from www.drikpanchang.com ,,"Mumbai, India",,,Drik Panchang - 2019 (1),ac27deb9ffb241f377e32720a14dc923@ical.drikpanchang.com,,
"Chaitra, Saptami Shukla Paksha, 1941 Vikari Shaka Samvata",04/12/19,04/13/2019,6:28 AM,6:51 PM,Moonrise - 11:52 AM,"Moonset - 01:27 AM, Apr 13Shaka Samvat - 1941 VikariVikram Samvat - 2076ParidhaviGujarati Samvat - 2075 Sadharana",Amanta Month - ChaitraPurnimanta Month - Chaitra,Weekday - Shukrawara,Paksha - Shukla Paksha,Tithi - Saptami ,1:24 PM,None,None,Nakshatra - Ardra ,9:55 AM,None,None,Yoga - Atiganda ,1:24 PM,None,None,Karana - Vanija ,1:24 PM,"Karana - Vishti """,12:35AM,None,None,Sunsign - Meena,"Moonsign - Mithuna upto 03:15 AM, Apr 13",Rahu Kalam - 11:06 AM to 12:39 PM,Gulikai Kalam - 08:01 AM to 09:33 AM,Yamaganda - 03:45 PM to 05:18 PM,Abhijit - 12:15 PM to 01:04 PM,Dur Muhurtam - 08:56 AM to 09:46 AM,Dur Muhurtam - 01:04 PM to 01:54 PMVarjyam -09:27 PM to 10:59 PM,Day Festivals and Events - Chaitra Navapada Oli Begins,from www.drikpanchang.com ,,"Mumbai, India",,,Drik Panchang - 2019 (1),f9a149bd9d82152410fc4465848fcfbf@ical.drikpanchang.com,,,
